meeting_type,reference,date,location,issue_number,issue_date,html_link,issue_type
COP,24,2018-12-02," Katowice, Poland",746,2018-12-13,https://enb.iisd.org/vol12/enb12746e.html,Issue
COP,24,2018-12-02," Katowice, Poland",747,Summary and Analysis,https://enb.iisd.org/vol12/enb12747e.html,Summary
IPCC,49,2019-05-08," Kyoto, Japan",748,2019-05-08,https://enb.iisd.org/vol12/enb12748e.html,Summary
SB,50,2019-06-17," Bonn, Germany",749,Curtain Raiser,https://enb.iisd.org/vol12/enb12749e.html,First
SB,50,2019-06-17," Bonn, Germany",750,2019-06-17,https://enb.iisd.org/vol12/enb12750e.html,Issue
SB,50,2019-06-17," Bonn, Germany",751,2019-06-18,https://enb.iisd.org/vol12/enb12751e.html,Issue
SB,50,2019-06-17," Bonn, Germany",752,2019-06-19,https://enb.iisd.org/vol12/enb12752e.html,Issue
SB,50,2019-06-17," Bonn, Germany",753,2019-06-20,https://enb.iisd.org/vol12/enb12753e.html,Issue
SB,50,2019-06-17," Bonn, Germany",754,2019-06-21,https://enb.iisd.org/vol12/enb12754e.html,Issue
SB,50,2019-06-17," Bonn, Germany",755,2019-06-22,https://enb.iisd.org/vol12/enb12755e.html,Issue
SB,50,2019-06-17," Bonn, Germany",756,2019-06-24,https://enb.iisd.org/vol12/enb12756e.html,Issue
SB,50,2019-06-17," Bonn, Germany",757,2019-06-25,https://enb.iisd.org/vol12/enb12757e.html,Issue
SB,50,2019-06-17," Bonn, Germany",758,2019-06-26,https://enb.iisd.org/vol12/enb12758e.html,Issue
SB,50,2019-06-17," Bonn, Germany",759,Summary and Analysis,https://enb.iisd.org/vol12/enb12759e.html,Summary
IPCC,50,2019-08-02," Geneva, Switzerland",760,2019-08-02,https://enb.iisd.org/vol12/enb12760e.html,Summary
IPCC,51,2019-09-20, Principality of Monaco,763,2019-09-20,https://enb.iisd.org/vol12/enb12763e.html,Summary
COP,25,2019-12-02," Madrid, Spain",764,Curtain Raiser,https://enb.iisd.org/vol12/enb12764e.html,First
COP,25,2019-12-02," Madrid, Spain",765,2019-12-02,https://enb.iisd.org/vol12/enb12765e.html,Issue
COP,25,2019-12-02," Madrid, Spain",766,2019-12-03,https://enb.iisd.org/vol12/enb12766e.html,Issue
COP,25,2019-12-02," Madrid, Spain",767,2019-12-04,https://enb.iisd.org/vol12/enb12767e.html,Issue
COP,25,2019-12-02," Madrid, Spain",768,2019-12-05,https://enb.iisd.org/vol12/enb12768e.html,Issue
COP,25,2019-12-02," Madrid, Spain",769,2019-12-06,https://enb.iisd.org/vol12/enb12769e.html,Issue
COP,25,2019-12-02," Madrid, Spain",770,2019-12-07,https://enb.iisd.org/vol12/enb12770e.html,Issue
COP,25,2019-12-02," Madrid, Spain",771,2019-12-09,https://enb.iisd.org/vol12/enb12771e.html,Issue
COP,25,2019-12-02," Madrid, Spain",772,2019-12-10,https://enb.iisd.org/vol12/enb12772e.html,Issue
COP,25,2019-12-02," Madrid, Spain",773,2019-12-11,https://enb.iisd.org/vol12/enb12773e.html,Issue
